"","klasifikasi","score","text"
"1","Netral",0," mudah   ber investasi"
"2","Netral",0," terbantu  bibit agi terhubung  bank jago"
"3","Netral",0,"good"
"4","Positif",3,"yanan nya bagus  sukses trus bibit  kak yunita   membantu es verifikasi "
"5","Positif",1,"  ani taoading nya  banget yaa"
"6","Positif",3,"perhitungan harga saham cukuik dakita amati      han investasi   terletak  r saham lokal  global  taerdajuga reksadana obligasi r uang emas crydan  nya    kekurangan temuntuk bermanuver  berkreasi   bidang  aasi t  acungi jemdan  jaga kualitas   tingkatkan terimakasih"
"7","Positif",1,"aasi investasi bagus"
"8","Positif",1,"bagus"
"9","Positif",1,"mudah   aman"
"10","Netral",0,"mantap"
"11","Positif",2," kasih bintang   resnya cebuat ngasih solusi best deh   anggota bibit"
"12","Netral",0,"mantalikasinya"
"13","Netral",0,"udah   monitor  data  bibit  hilang oke banget  ekonomi  berat bro"
"14","Positif",1,"bagus"
"15","Positif",1,"oke mantab"
"16","Positif",1,"berkat ba dedi"
"17","Positif",4," la  bingung  investasi i  aasi bibit aja daftarnya mudah   rumit  tautkan reff bitjago donus  fitur bagus  tamn   mudah  mengerti  teman simk  meresdengan cedengan  menawarkan kenyamanan   investasi cebergabung   setuju  merekomendasikan  la     belajar invetasi  bibit  aman  teraya"
"18","Negatif",-1,"babi"
"19","Positif",2,"min ue  adain fitur mode gelah biar  enak biar  menyesuaikan  ui "
"20","Netral",0,"mantap"
"21","Netral",0,"pake kode ayobisaaa  dacashback "
"22","Positif",1,"bismillah semoga  mendaan bantuan in syaaallah ðÿðÿðÿ"
"23","Netral",0,"yuk nabung  bibit  masukkan kode refferal nabungrame  daan cashback   ribu salam suksesðÿœ"
"24","Positif",1,"wd sm   gimana critanya  banget lg butuh cewd sm "
"25","Positif",2,"   bagus  tabungan   "
"26","Netral",0,"oke"
"27","Positif",3," penjualan belom masuk  rekening   history  berhasil  jual"
"28","Positif",6,"mohon maaf  fiturnya bagus tetaetika   beli sukuk  diwajibkan bikin akun bca gak  han  bank    a rek bank bri bank bsi  rekening jenius btpn  kenaanya  bank yg diakui maaf langsung  uninstal"
